"POVINN","UCIT"
NDGF019,"12217"
NMST551,"11927"
NFPL505,"11276"
NFUF206,"11780"
NFUF807,"11757"
NGEO006,"11747"
NMSA413,"89594"
NBCM171,"11182"
NDGF029,"20575"
NDMI015,"12486"
NFPL205,"20043"
NDMI002,"92597"
NMFP461,"24130"
NMFP461,"77216"
NDMI025,"11354"
NFPL213,"11723"
NFPL215,"11078"
NMSA409,"35910"
NJSF079,"13104"
NEVF111,"11793"
NMAG211,"12720"
NBCM206,"11838"
NBCM215,"12939"
NBCM231,"21455"
NBCM346,"11621"
NMAG537,"75103"
NEVF134,"36435"
NOFY056,"11592"
NEVF517,"17677"
NAFY030,"11300"
NMAI055,"19716"
NEVF537,"13227"
NFOE003,"11543"
NFOE021,"25006"
NFPL017,"16400"
NFPL044,"11543"
NAIL105,"11023"
NAIL110,"51532"
NOFY142,"86890"
NOFY021,"12706"
NFPL312,"12706"
NFPL312,"18385"
NAST003,"11815"
NAST003,"12149"
NAST019,"12252"
NOFY066,"19302"
NOFY066,"10864"
NFPL221,"20043"
NOFY018,"11438"
NPFL120,"12356"
NEVF122,"11607"
NAFY101,"12284"
NBCM103,"12284"
NMNV571,"20877"
NSCI004,"12921"
NMIN112,"13270"
NMNM211,"60790"
NBCM177,"11371"
NMAG261,"84568"
NMAG112,"11293"
NMMB206,"10899"
NMIN331,"12164"
NFUF304,"34165"
NOFY066,"12448"
NOFY066,"13582"
NOFY024,"25214"
NSWI177,"69479"
NSZZ502,"16457"
NPFL124,"11040"
