"POVINN","REQTYP","REQPOVINN"
NSTP014,N,NSTP177
NSTP017,N,N#MS037
NSTP017,N,NMAI059
NSTP017,N,NSTP014
NSTP017,N,NSTP022
NSTP017,N,NSTP070
NSTP017,N,NSTP129
NSTP017,N,NSTP177
NSTP018,Z,NMST539
NSTP024,N,N#MS016
NSTP024,N,NSTP141
NSTP024,Z,N#MS016
NSTP024,Z,N#MS034
NSTP026,N,NSTP027
NSTP026,Z,N#MS032
NSTP027,Z,NMST438
NSTP028,N,NSTP142
NSTP028,Z,N#MS031
NSTP029,Z,NMSA602
NSTP030,Z,NMSA603
NSTP031,N,NSTP050
NSTP031,Z,N#MS021
NSTP032,K,N#MS003
NSTP032,N,NSTP051
NSTP032,Z,N#MS022
NSTP038,N,NSTP238
NSTP038,Z,N#MS043
NSTP039,N,NSTP239
NSTP039,Z,N#MS044
NSTP050,Z,NMSA333
NSTP051,K,NSTP050
NSTP051,Z,NMSA405
NSTP053,N,NSTP008
NSTP053,Z,NSTP008
NSTP054,N,NSTP009
NSTP054,Z,NSTP009
NSTP055,N,NSTP010
NSTP055,Z,NSTP010
NSTP064,N,NUMP013
NSTP070,N,N#MS037
NSTP070,N,N#MS050
NSTP070,N,NMAI059
NSTP070,N,NMSA202
NSTP070,N,NSTP014
NSTP070,N,NSTP022
NSTP070,N,NSTP097
NSTP070,N,NSTP129
NSTP070,N,NSTP177
NSTP085,N,N#MS005
NSTP085,Z,N#MS005
NSTP094,N,NSTP194
NSTP094,Z,N#MS045
NSTP097,Z,NMFM301
NSTP106,P,N#MS045
NSTP106,Z,NMST551
NSTP119,N,NSTP149
NSTP119,P,NSTP050
NSTP119,P,NSTP051
NSTP119,Z,N#MS028
NSTP121,Z,NMSA401
NSTP122,Z,NMTP450
NSTP123,Z,NMTP551
NSTP124,N,NSTP001
NSTP124,N,NSTP002
NSTP124,N,NSTP070
NSTP124,N,NSTP097
NSTP124,N,NSTP106
NSTP125,P,NSTP050
NSTP125,Z,NMTP434
NSTP127,Z,NMTP574
NSTP128,N,NSTP228
NSTP128,Z,N#MS047
NSTP129,N,N#MS037
NSTP129,N,NMAI059
NSTP129,N,NSTP014
NSTP129,N,NSTP022
NSTP129,N,NSTP070
NSTP129,N,NSTP177
NSTP129,Z,NMFM202
NSTP129,Z,NSTP022
NSTP132,N,NSTP133
NSTP132,Z,N#MS033
NSTP133,Z,NMTP565
NSTP138,K,NSTP119
NSTP141,N,N#MS016
NSTP141,N,NSTP024
NSTP142,N,NSTP028
NSWI002,P,NSWI003
NSWI002,P,NTIN013
NSWI004,N,NXXX010
NSWI004,N,NXXX014
NSWI004,N,NXXX022
NSWI004,N,NXXX025
NSWI004,N,NXXX026
NSWI004,N,NXXX031
NSWI004,N,NXXX032
NSWI004,N,NXXX035
NSWI004,N,NSWI200
NSWI004,N,NSWX004
NSWI004,N,NXXX010
NSWI004,N,NXXX014
NSWI004,N,NXXX022
NSWI004,N,NXXX025
NSWI004,N,NXXX026
NSWI004,N,NXXX031
NSWI004,N,NXXX032
NSWI004,N,NXXX035
NSWI004,Z,NSWI200
NSWI004,Z,NSWX004
NSWI015,P,NSWI177
NSWI037,K,NSWI036
NSWI043,P,NSWI097
NTIN007,K,NTIN020
NTIN033,N,NXXX036
NTIN033,N,NXXX037
NTIN046,P,NTIN071
NTMF024,K,NTMF021
