"KOD","USTAV","FAKULTA","PRIJMENI","JMENO","TITULPRED","TITULZA"
"12479","32-KVOF","11320",Kohlová,Věra,,
"12480","32-KNM","11320",Kofroň,Josef,doc. RNDr.,CSc.
"12651","32-VSCHT","11320",Janovská,Drahoslava,prof. RNDr.,CSc.
"13221","32-STUD","11320",Jelínek,Petr,doc. RNDr.,Ph.D.
"13227","32-KFPP","11320",Němec,František,prof. RNDr.,Ph.D.
"13240","32-KSVI","11320",Blažek,Jan,RNDr.,Ph.D.
"12874","32-FUUK","11320",Ulrych,Jan,,
"12882","32-KMF","11320",Kouřilová,Hana,RNDr.,Ph.D.
"12887","32-KJP","11320",Jacobs,Philip Joseph,,
"12916","32-UCJF","11320",Scheirich,Daniel,Mgr.,Ph.D.
"12918","32-KDM","11320",Chocholová,Michaela,Mgr.,Ph.D.
"10869","32-FZUAV","11320",Rameš,Jiří,RNDr.,CSc.
"10870","32-#EXT","11320",Risse,Marcus,Dr.,
"10871","32-#EXT","11320",Chakraborty,Dhiman,Dr.,
"10872","32-MUNI","11320",Pitner,Tomáš,RNDr.,PhD.
"10873","32-CVUT","11320",Mannová,Božena,Ing.,Ph.D.
"10874","32-KSVI","11320",Sulovsky,Marek,,
"10875","32-UFAL","11320",Straka,Milan,RNDr.,Ph.D.
"10876","32-UFAL","11320",Bojar,Ondřej,doc. RNDr.,Ph.D.
"10878","32-#EXT","11320",Prokeš,Karel,Dr.,DrSc.
"10879","32-KFM","11320",Slámová,Margarita,RNDr.,CSc.
"10880","32-CHMU","11320",Pretel,Jan,RNDr.,CSc.
"10882","32-#EXT","11320",Fabian,Andrew,Prof.,
"10883","32-#EXT","11320",Celotti,Annalisa,Prof.,
"10884","32-#EXT","11320",Leclerc,Bruno,,
"10886","32-KSI","11320",Karban,Tomáš,Mgr.,
"10891","32-SB","11320",Bureš,Milan,,
"10894","32-KA","11320",Korbelář,Miroslav,RNDr.,Ph.D.
"10895","32-KA","11320",Rosa,Tomáš,Ing.,Ph.D.
"10896","32-KA","11320",Dostálek,Libor,RNDr.,
"10897","32-KA","11320",Flaška,Václav,RNDr.,Ph.D.
"10902","32-KAM","11320",KAM,,,
"10922","32-MUAV","11320",Stebel,Jan,doc. mgr,Ph.D.
"10923","32-MUUK","11320",Koutný,Jan,Mgr.,
"10927","32-UAS","11320",Čížek,Martin,RNDr.,Ph.D.
"10929","32-#EXT","11320",Macháček,Martin,Mgr.,
"10979","32-KPMS","11320",Schindler,Martin,Mgr.,Ph.D.
"13002","32-KPMS","11320",Prchal,Luboš,Mgr.,Ph.D.
"10980","32-KPMS","11320",Justová,Iva,RNDr. Ing.,Ph.D.
"10981","32-KPMS","11320",Bartušek,Bohumír,Mgr.,
"10982","32-KNM","11320",Kucková,Stanislava,RNDr.,
"10983","32-KNM","11320",Ulrychová,Iveta,,
"13003","32-KNM","11320",Kučera,Václav,doc. RNDr.,Ph.D.
"10984","32-KTIML","11320",Vyskocil,Tomas,,
"10985","32-KSVI","11320",Šibravová,Lucie,Mgr.,
"13004","32-GFUAV","11320",Novotný,Miroslav,RNDr.,CSc.
"10988","32-#EXT","11320",Černý,Jaroslav,Doc. RNDr.,CSc.
