"POVINN","PKLAS"
NRFA019,MATNUM
NRFA027,MATFNC
NRFA027,MATMAA
NRFA033,MATFNC
NRFA033,MATMAA
NRFA035,MATFNC
NRFA035,MATMAA
NRFA040,MATMAA
NRFA041,MATMAA
NRFA042,MATFNC
NRFA043,MATMAA
NRFA044,MATFNC
NRFA045,MATFNC
NRFA045,MATMAA
NSTP001,MATSTP
NSTP002,MATSTP
NSTP004,INFAPL
NSTP004,MATSTP
NSTP005,MATSTP
NSTP006,MATSTP
NSTP008,MATSTP
NSTP009,MATSTP
NSTP010,MATSTP
NSTP013,MATSTP
NSTP014,MATEXT
NSTP014,MATSTP
NSTP016,MATEXT
NSTP016,MATSTP
NSTP017,MATEXT
NSTP017,MATSTP
NSTP018,MATSTP
NSTP024,MATSTP
NSTP025,MATEXT
NSTP025,MATSTP
NSTP026,MATSTP
NSTP027,MATSTP
NSTP028,MATSTP
NSTP029,MATSTP
NSTP030,MATSTP
NSTP031,MATSTP
NSTP032,MATSTP
NSTP038,MATSTP
NSTP039,MATSTP
NSTP048,MATSTP
NSTP049,MATSTP
NSTP050,MATSTP
NSTP051,MATSTP
NSTP053,MATSTP
NSTP054,MATSTP
NSTP055,MATSTP
NSTP064,MATSTP
NSTP070,MATEXT
NSTP070,MATSTP
NSTP085,MATSTP
NSTP094,MATSTP
NSTP097,MATSTP
NSTP106,INFAPL
NSTP106,MATSTP
NSTP119,MATSTP
NSTP120,MATSTP
NSTP121,MATSTP
NSTP122,MATSTP
NSTP123,MATSTP
NSTP124,MATEXT
NSTP124,MATSTP
NSTP125,MATSTP
NSTP127,MATSTP
NSTP128,MATSTP
NSTP129,MATSTP
NSTP131,INFAPL
NSTP131,MATEXT
NSTP131,MATSTP
NSTP132,MATSTP
NSTP133,MATSTP
NSTP138,MATSTP
NSTP140,MATEXT
NSTP140,MATSTP
NSTP141,MATSTP
NSTP142,MATSTP
NSWI002,INFSWE
NSWI004,INFSWE
NSWI006,INFSWE
NSWI015,INFSWE
NSWI035,INFSWE
NSWI036,INFPRG
NSWI037,INFPRG
NSWI038,INFPRG
NSWI043,INFSWE
NSWI055,INFSWE
NSWI065,INFSWE
NSWI068,INFSWE
NSWI077,INFSWE
NSZZ003,PHYGEN
NSZZ008,PHYGEN
NSZZ014,PHYGEN
NTIN001,INFTCS
NTIN006,INFTCS
NTIN007,INFTCS
NTIN030,INFTCS
NTIN033,INFTCS
NTIN035,INFTCS
NTIN046,INFTCS
NTIN050,INFTCS
NTMF021,PHYTHM
NTMF024,PHYTHM
NTMF027,PHYTHM
NTMF029,PHYTHM
NTMF045,PHYTHM
NTMF047,PHYTHM
NTMF049,PHYTHM
NTMF050,PHYTHM
NTVY012,INFEXT
NTVY012,MATEXT
NTVY012,PHYEXT
NTVY013,INFEXT
NTVY013,MATEXT
NTVY013,PHYEXT
NUAS001,INFAPL
NUAS002,INFAPL
NUAS003,INFAPL
NUAS004,INFAPL
NUAS005,INFAPL
NUAS006,INFAPL
NUAS007,INFAPL
NUAS008,INFAPL
NUFY001,PHYTEA
NUFY005,PHYTEA
NUFY006,PHYTEA
NUFY008,PHYTEA
NUFY009,PHYTEA
NUFY011,PHYTEA
NUFY012,PHYTEA
NUFY013,PHYTEA
NUFY014,PHYTEA
NUFY015,PHYTEA
NUFY016,PHYTEA
NUFY017,PHYTEA
NUFY018,PHYTEA
NUFY021,PHYTEA
NUFY023,PHYTEA
NUFY024,PHYTEA
NUFY025,PHYTEA
NUFY028,PHYTEA
NUFY030,PHYTEA
NUFY031,PHYTEA
NUFY036,PHYTEA
NUFY037,PHYTEA
NUFY039,PHYTEA
NUFY041,PHYTEA
NUFY042,PHYTEA
NUFY043,PHYTEA
NUFY045,PHYTEA
NUFY046,PHYTEA
NUFY047,PHYTEA
NUFY048,PHYTEA
NUFY050,PHYTEA
NUFY051,PHYTEA
NUFY055,PHYTEA
NUFY056,PHYTEA
NUFY057,PHYTEA
NUFY058,PHYTEA
NUFY059,PHYTEA
NUFY063,PHYTEA
NUFY064,PHYTEA
NUFY066,PHYTEA
NUFY068,PHYTEA
NUFY069,PHYTEA
NUFY070,PHYTEA
NUFY071,PHYTEA
NUFY072,PHYTEA
NUFY073,PHYTEA
NUFY074,PHYTEA
NUFY075,PHYTEA
NUFY076,PHYTEA
NUFY077,PHYTEA
NUFY078,PHYTEA
NUIN006,INFTCS
NUMP001,MATMAA
NUMP001,TEAMAT
NUMP002,MATMAA
NUMP002,TEAMAT
NUMP005,MATMAA
NUMP005,TEAMAT
NUMP006,MATMAA
NUMP006,TEAMAT
NUMP009,MATGEM
NUMP010,MATGEM
NUMP011,MAT
NUMP012,MATMAA
NUMP012,TEAMAT
NUMP013,MATSTP
NUMP013,TEAMAT
NUMP014,MAT
NUMP015,MATMAT
NUMP017,MATGEM
NUMV001,MATMAT
NUMV002,MATMAT
NUMV003,MATMAT
NUMV005,MATGEM
NUMV006,MATGEM
NUMV007,MATGEM
NUMV008,MATGEM
NUMV009,MATDID
NUMV010,MATDID
NUMV011,MATMAT
NUMV012,MATMAT
NUMV013,MATALG
NUMV014,MATALG
NUMV015,MATMAT
NUMV019,MATDIS
NUMV020,MATDIS
NUMV021,MATGEM
NUMV041,MATMAA
NUMV041,TEAMAT
NUMV043,MATDID
NUMV046,MATFIN
NUMZ001,MATDID
NUMZ002,MATDID
NUMZ003,MATMAA
NUMZ003,TEAMAT
NUMZ004,MATALG
NUMZ004,TEAMAT
NUMZ006,MATGEM
NUOS006,INFAPL
NUOS006,MATOPT
NUOS008,INFAPL
NZZZ062,ECOGEN
NZZZ063,ECOGEN
NZZZ066,ECOGEN
NZZZ068,ECOGEN
NZZZ086,PHSGEN
NZZZ168,ECOGEN
NZZZ169,ECOGEN
NZZZ170,ECOGEN
NZZZ191,PHSLOG
NZZZ198,PHSGEN
NZZZ206,ECOGEN
NZZZ208,ECOGEN
