"PLAN_CODE","PLAN_YEAR","CODE","NAME_CZ","NAME_EN","SUBJECT_STATUS","SEMESTER_PRIMARY","SEMESTER_COUNT","SUBJECT_TYPE","WORKLOAD_PRIMARY1","WORKLOAD_SECONDARY1","WORKLOAD_PRIMARY2","WORKLOAD_SECONDARY2","CREDITS","INTERCHANGEABILITY","BLOC_SUBJECT_CODE","BLOC_TYPE","BLOC_LIMIT","BLOC_NAME_CZ","BLOC_NAME_EN","SEQ","NOTE_CZ","NOTE_EN","BLOC_NOTE_CZ","BLOC_NOTE_EN"
NISD23N,"2023",NSWI035,Principy distribuovaných systémů,Principles of Distributed Systems,V,"1","1",K,"2","0",,,3,,"5148",B,15,povinně volitelné společné - přednášky a semináře,,"01/003/0004",,,,
NISD23N,"2023",NSWI072,Algoritmy komprese dat,Data Compression Algorithms,V,"1","1",K,"2","0",,,3,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0020",,,,
NISD23N,"2023",NSWI080,Middleware,Middleware,V,"2","1",F,"2","1",,,4,,"5148",B,15,povinně volitelné společné - přednášky a semináře,,"01/003/0005",,,,
NISD23N,"2023",NSWI101,Modely a verifikace chování systémů,System Behaviour Models and Verification,V,"1","1",*,"2","2",,,5,,"5148",B,15,povinně volitelné společné - přednášky a semináře,,"01/003/0006",,,,
NISD23N,"2023",NSWI126,Pokročilé nástroje pro vývoj a monitorování software,Advanced Tools for Software Development and Monitoring,V,"1","1",Z,"0","2",,,2,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0021",,,,
NISD23N,"2023",NSWI130,Architektury softwarových systémů,Software System Architectures,V,"1","1",*,"2","2",,,5,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0022",,,,
NISD23N,"2023",NSWI131,Vyhodnocování výkonnosti počítačových systémů,Performance Evaluation of Computer Systems,V,"2","1",*,"2","1",,,4,,"5148",B,15,povinně volitelné společné - přednášky a semináře,,"01/003/0007",,,,
NISD23N,"2023",NSWI144,Data na Webu,Data on the Web,V,"2","1",*,"2","1",,,5,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0023",,,,
NISD23N,"2023",NSWI145,Webové služby,Web Services,V,"2","1",*,"2","2",,,5,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0024",,,,
NISD23N,"2023",NSWI149,Softwarové inženýrství v praxi,Software Engineering in Practice,V,"2","1",Z,"2","0",,,3,,"5148",B,15,povinně volitelné společné - přednášky a semináře,,"01/003/0008",,,,
NISD23N,"2023",NSWI150,Virtualizace a cloud computing,Virtualization and Cloud Computing,V,"1","1",K,"2","0",,,3,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0025",,,,
